x	y	key	clickSelects	PANEL
0.8	0.8333	round.aum round.auc 0.8 0.8333	round.aum round.auc 0.8 0.8333	4
0.8	0.9167	round.aum round.auc 0.8 0.9167	round.aum round.auc 0.8 0.9167	4
0.8	1	round.aum round.auc 0.8 1	round.aum round.auc 0.8 1	4
1	0.3333	round.aum round.auc 1 0.3333	round.aum round.auc 1 0.3333	4
1	0.4167	round.aum round.auc 1 0.4167	round.aum round.auc 1 0.4167	4
1	0.5	round.aum round.auc 1 0.5	round.aum round.auc 1 0.5	4
1	0.5833	round.aum round.auc 1 0.5833	round.aum round.auc 1 0.5833	4
1	0.6667	round.aum round.auc 1 0.6667	round.aum round.auc 1 0.6667	4
1	0.75	round.aum round.auc 1 0.75	round.aum round.auc 1 0.75	4
1	0.8333	round.aum round.auc 1 0.8333	round.aum round.auc 1 0.8333	4
1	0.9167	round.aum round.auc 1 0.9167	round.aum round.auc 1 0.9167	4
1.4	0.8333	round.aum round.auc 1.4 0.8333	round.aum round.auc 1.4 0.8333	4
1.6	0.3333	round.aum round.auc 1.6 0.3333	round.aum round.auc 1.6 0.3333	4
1.6	0.5	round.aum round.auc 1.6 0.5	round.aum round.auc 1.6 0.5	4
1.6	0.6667	round.aum round.auc 1.6 0.6667	round.aum round.auc 1.6 0.6667	4
1.6	0.8333	round.aum round.auc 1.6 0.8333	round.aum round.auc 1.6 0.8333	4
1.6	1	round.aum round.auc 1.6 1	round.aum round.auc 1.6 1	4
1.6	1.0833	round.aum round.auc 1.6 1.0833	round.aum round.auc 1.6 1.0833	4
1.8	0.25	round.aum round.auc 1.8 0.25	round.aum round.auc 1.8 0.25	4
1.8	0.3333	round.aum round.auc 1.8 0.3333	round.aum round.auc 1.8 0.3333	4
1.8	0.4167	round.aum round.auc 1.8 0.4167	round.aum round.auc 1.8 0.4167	4
1.8	0.5	round.aum round.auc 1.8 0.5	round.aum round.auc 1.8 0.5	4
1.8	0.5833	round.aum round.auc 1.8 0.5833	round.aum round.auc 1.8 0.5833	4
1.8	0.6667	round.aum round.auc 1.8 0.6667	round.aum round.auc 1.8 0.6667	4
1.8	0.75	round.aum round.auc 1.8 0.75	round.aum round.auc 1.8 0.75	4
1.8	0.8333	round.aum round.auc 1.8 0.8333	round.aum round.auc 1.8 0.8333	4
1.8	0.9167	round.aum round.auc 1.8 0.9167	round.aum round.auc 1.8 0.9167	4
1.8	1	round.aum round.auc 1.8 1	round.aum round.auc 1.8 1	4
1.8	1.0833	round.aum round.auc 1.8 1.0833	round.aum round.auc 1.8 1.0833	4
1.8	1.1667	round.aum round.auc 1.8 1.1667	round.aum round.auc 1.8 1.1667	4
2	0.5833	round.aum round.auc 2 0.5833	round.aum round.auc 2 0.5833	4
2	0.6667	round.aum round.auc 2 0.6667	round.aum round.auc 2 0.6667	4
2	0.75	round.aum round.auc 2 0.75	round.aum round.auc 2 0.75	4
2	0.8333	round.aum round.auc 2 0.8333	round.aum round.auc 2 0.8333	4
2.2	0.3333	round.aum round.auc 2.2 0.3333	round.aum round.auc 2.2 0.3333	4
2.2	0.5	round.aum round.auc 2.2 0.5	round.aum round.auc 2.2 0.5	4
2.2	0.5833	round.aum round.auc 2.2 0.5833	round.aum round.auc 2.2 0.5833	4
2.2	0.6667	round.aum round.auc 2.2 0.6667	round.aum round.auc 2.2 0.6667	4
2.2	0.75	round.aum round.auc 2.2 0.75	round.aum round.auc 2.2 0.75	4
2.2	0.8333	round.aum round.auc 2.2 0.8333	round.aum round.auc 2.2 0.8333	4
2.2	0.9167	round.aum round.auc 2.2 0.9167	round.aum round.auc 2.2 0.9167	4
2.4	0.25	round.aum round.auc 2.4 0.25	round.aum round.auc 2.4 0.25	4
